signalType,sampleRate,algorithm,algorithmParameters,trueFreq,predFreq,time
sine,44100,zerocross,n/a,50,50.0,0.0002787480043480173
sine,44100,autocorrelation,n/a,50,44100.0,7.117058802003157
sine,44100,AMDF,b=1,50,50.0,8.549016693999874
sine,44100,naiveFT,isCustomFFT=False,50,43.06640625,0.0003661720038508065
sine,44100,cepstrum,isCustomFFT=False,50,3678.5888671875,0.0003610399944591336
sine,44100,HPS,isCustomFFT=False&numDownsamples=4,50,21.533203125,0.0039706820025458
sine,44100,average,b=1&isCustomFFT=False&numDownsamples=4,50,47.688802083333336,15.671052138008235
sine,44100,median,b=1&isCustomFFT=False&numDownsamples=4,50,50.0,15.671052138008235
saw,44100,zerocross,n/a,50,50.0,0.00016360299923690036
saw,44100,autocorrelation,n/a,50,44100.0,6.91211697399558
saw,44100,AMDF,b=1,50,50.0,8.548232719993393
saw,44100,naiveFT,isCustomFFT=False,50,43.06640625,0.0003089699966949411
saw,44100,cepstrum,isCustomFFT=False,50,50.04882812499999,0.000341986000421457
saw,44100,HPS,isCustomFFT=False&numDownsamples=4,50,21.533203125,0.003857828000036534
saw,44100,average,b=1&isCustomFFT=False&numDownsamples=4,50,47.688802083333336,15.465022080985364
saw,44100,median,b=1&isCustomFFT=False&numDownsamples=4,50,50.0,15.465022080985364
square,44100,zerocross,n/a,50,50.0,0.00015666199760744348
square,44100,autocorrelation,n/a,50,44100.0,6.889956865998101
square,44100,AMDF,b=1,50,50.0,8.278633235997404
square,44100,naiveFT,isCustomFFT=False,50,43.06640625,0.00030095799593254924
square,44100,cepstrum,isCustomFFT=False,50,538.330078125,0.0038495310000143945
square,44100,HPS,isCustomFFT=False&numDownsamples=4,50,21.533203125,0.005440885004645679
square,44100,average,b=1&isCustomFFT=False&numDownsamples=4,50,47.688802083333336,15.178338137993705
square,44100,median,b=1&isCustomFFT=False&numDownsamples=4,50,50.0,15.178338137993705
triangle,44100,zerocross,n/a,50,50.0,0.00018241799989482388
triangle,44100,autocorrelation,n/a,50,44100.0,6.9003220410013455
triangle,44100,AMDF,b=1,50,50.0,10.012013416002446
triangle,44100,naiveFT,isCustomFFT=False,50,43.06640625,0.00034305900044273585
triangle,44100,cepstrum,isCustomFFT=False,50,3678.5888671875,0.0003416190011193976
triangle,44100,HPS,isCustomFFT=False&numDownsamples=4,50,21.533203125,0.0038274410035228357
triangle,44100,average,b=1&isCustomFFT=False&numDownsamples=4,50,47.688802083333336,16.91702999400877
triangle,44100,median,b=1&isCustomFFT=False&numDownsamples=4,50,50.0,16.91702999400877
sineWith10Harmonics,44100,zerocross,n/a,50,50.0,0.00015696699847467244
sineWith10Harmonics,44100,autocorrelation,n/a,50,44100.0,8.486351159997866
sineWith10Harmonics,44100,AMDF,b=1,50,50.0,8.593953365998459
sineWith10Harmonics,44100,naiveFT,isCustomFFT=False,50,43.06640625,0.000284630004898645
sineWith10Harmonics,44100,cepstrum,isCustomFFT=False,50,3678.5888671875,0.00034103699726983905
sineWith10Harmonics,44100,HPS,isCustomFFT=False&numDownsamples=4,50,21.533203125,0.003955253996537067
sineWith10Harmonics,44100,average,b=1&isCustomFFT=False&numDownsamples=4,50,47.688802083333336,17.085042413993506
sineWith10Harmonics,44100,median,b=1&isCustomFFT=False&numDownsamples=4,50,50.0,17.085042413993506
sineWith20Harmonics,44100,zerocross,n/a,50,50.0,0.00015825599984964356
sineWith20Harmonics,44100,autocorrelation,n/a,50,44100.0,7.076273825994576
sineWith20Harmonics,44100,AMDF,b=1,50,50.0,9.19717381800001
sineWith20Harmonics,44100,naiveFT,isCustomFFT=False,50,43.06640625,0.00029722199542447925
sineWith20Harmonics,44100,cepstrum,isCustomFFT=False,50,3678.5888671875,0.00033717900078045204
sineWith20Harmonics,44100,HPS,isCustomFFT=False&numDownsamples=4,50,21.533203125,0.0038782359988545068
sineWith20Harmonics,44100,average,b=1&isCustomFFT=False&numDownsamples=4,50,47.688802083333336,16.278118536989496
sineWith20Harmonics,44100,median,b=1&isCustomFFT=False&numDownsamples=4,50,50.0,16.278118536989496
sine,44100,zerocross,n/a,75,75.0,0.00016284299636026844
sine,44100,autocorrelation,n/a,75,44100.0,6.9766437090002
sine,44100,AMDF,b=1,75,75.0,8.580984549000277
sine,44100,naiveFT,isCustomFFT=False,75,64.599609375,0.00030436000088229775
sine,44100,cepstrum,isCustomFFT=False,75,3678.5888671875,0.0003436459955992177
sine,44100,HPS,isCustomFFT=False&numDownsamples=4,75,21.533203125,0.004011728000477888
sine,44100,average,b=1&isCustomFFT=False&numDownsamples=4,75,71.533203125,15.562450834993797
sine,44100,median,b=1&isCustomFFT=False&numDownsamples=4,75,75.0,15.562450834993797
saw,44100,zerocross,n/a,75,75.0,0.00016173299809452146
saw,44100,autocorrelation,n/a,75,44100.0,7.391523177997442
saw,44100,AMDF,b=1,75,75.0,8.551055933996395
