signalType,sampleRate,algorithm,algorithmParameters,trueFreq,predFreq,time
guitarC3,44100,zerocross,n/a,130.8127826502993,398.71232876712327,0.0029731250106124207
guitarC3,44100,zerocross,n/a,130.8127826502993,398.71232876712327,0.003485027002170682
guitarC3,44100,autocorrelation,n/a,130.8127826502993,130.86053412462908,10.535928052006057
guitarC3,44100,AMDF,b=1,130.8127826502993,65.33333333333333,17.306446767994203
guitarC3,44100,naiveFT,isCustomFFT=False,130.8127826502993,129.19921875,0.00042453101195860654
guitarC3,44100,cepstrum,isCustomFFT=False,130.8127826502993,2452.3925781249995,0.0004060560022480786
guitarC3,44100,HPS,isCustomFFT=False&numDownsamples=4,130.8127826502993,129.19921875,0.004073806994711049
guitarC3,44100,average,b=1&isCustomFFT=False&numDownsamples=4,130.8127826502993,129.75299054154303,27.850764241011348
guitarC3,44100,median,b=1&isCustomFFT=False&numDownsamples=4,130.8127826502993,129.19921875,27.850764241011348
trebleVoiceA4,44100,zerocross,n/a,440,440.55944055944053,0.0029929549928056076
trebleVoiceA4,44100,autocorrelation,n/a,440,441.0,11.445785353993415
trebleVoiceA4,44100,AMDF,b=1,440,441.0,17.711253236993798
trebleVoiceA4,44100,naiveFT,isCustomFFT=False,440,430.6640625,0.000956907999352552
trebleVoiceA4,44100,cepstrum,isCustomFFT=False,440,3153.076171875,0.00050772400572896
trebleVoiceA4,44100,HPS,isCustomFFT=False&numDownsamples=4,440,430.6640625,0.004532094011665322
trebleVoiceA4,44100,average,b=1&isCustomFFT=False&numDownsamples=4,440,437.4078343531469,29.166028271996765
trebleVoiceA4,44100,median,b=1&isCustomFFT=False&numDownsamples=4,440,440.55944055944053,29.166028271996765
